Position	CD15	CD4	NAKATPASE	ASMA	CD8	FOXP3	CD31	PDL1	CD27	CD3	CD56	CD206	GZB	HLAI	CASP3	CD163	CD16	CD45	CD20	LAG3	CD11C	S6	PANCK	HLAII	KI67	CD68	KAPPA	CD14	CD38	PD1	MPO	B2MG	TRYPTASE	LAMBDA	GP100	ANNEXINV	ISOTYPERB	ISOTYPEMU
region_084	Good	Fair	Fair	Good	Fair	Fair	Good	Good	Fair	Fair	Good	Fair	Good	Fair	Fair	Good	Fair	Good	Fair	Good	Good	Excellent	Good	Fair	Good	Good	Fair	Fair	Good	Good	Good	Poor	Good	Good	Fair	Good	Fair	Good
region_085	Fair	Poor	Good	Good	Poor	Fair	Fair	Fair	Good	Fair	Fair	Fair	Good	Fair	Good	Fair	Fair	Poor	Good	Fair	Fair	Good	Good	Fair	Good	Good	Good	Poor	Good	Good	Fair	Poor	Fair	Good	Good	Good	Good	Good
region_086	Good	Poor	Good	Good	Excellent	Good	Fair	Good	Fair	Good	Poor	Fair	Good	Poor	Good	Fair	Good	Good	Good	Good	Fair	Fair	Good	Good	Fair	Good	Fair	Poor	Fair	Good	Good	Poor	Good	Good	Good	Good	Fair	Good
region_087	Good	Excellent	Fair	Excellent	Fair	Good	Fair	Fair	Good	Excellent	Good	Good	Good	Fair	Good	Excellent	Good	Good	Excellent	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Fair	Good	Good	Poor	Good	Good	Good	Fair	Fair
region_088	Good	Good	Good	Excellent	Good	Good	Fair	Fair	Good	Good	Fair	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good
region_089	Good	Fair	Fair	Good	Poor	Good	Fair	Good	Good	Good	Fair	Good	Good	Good	Fair	Fair	Good	Good	Good	Good	Fair	Fair	Fair	Fair	Fair	Fair	Good	Fair	Fair	Good	Fair	Poor	Poor	Good	Good	Good	Good	Good
region_090	Good	Fair	Good	Fair	Poor	Fair	Fair	Fair	Poor	Poor	Good	Fair	Good	Fair	Good	Fair	Good	Good	Good	Good	Fair	Good	Excellent	Poor	Good	Good	Fair	Fair	Good	Good	Good	Poor	Good	Good	Good	Fair	Good	Good
region_091	Excellent	Fair	Good	Good	Fair	Good	Fair	Fair	Fair	Fair	Good	Fair	Good	Fair	Good	Good	Fair	Good	Good	Good	Fair	Good	Excellent	Fair	Good	Good	Good	Fair	Fair	Good	Fair	Fair	Good	Good	Fair	Good	Good	Good
region_092	Fair	Poor	Good	Good	Good	Good	Fair	Good	Good	Poor	Good	Fair	Good	Fair	Good	Fair	Good	Good	Good	Good	Fair	Fair	Fair	Fair	Good	Good	Good	Fair	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Good
region_093	Poor	Good	Good	Good	Fair	Good	Good	Fair	Fair	Good	Good	Fair	Fair	Good	Good	Good	Fair	Good	Fair	Fair	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Fair	Good	Fair	Good	Good	Good	Excellent	Good	Fair
region_094	Good	Fair	Excellent	Good	Good	Good	Fair	Fair	Good	Fair	Poor	Good	Good	Excellent	Good	Fair	Fair	Good	Fair	Good	Poor	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good
region_095	Excellent	Fair	Good	Fair	Good	Good	Fair	Good	Good	Good	Fair	Good	Good	Good	Good	Excellent	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Fair
region_096	Fair	Good	Good	Fair	Fair	Good	Good	Fair	Good	Fair	Fair	Good	Good	Fair	Good	Good	Good	Fair	Good	Good	Good	Fair	Fair	Good	Fair	Good	Fair	Good	Fair	Good	Good	Good	Fair	Good	Fair	Fair	Good	Good
region_097	Good	Fair	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Fair	Good	Fair	Good	Fair	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Poor	Good	Good	Good	Poor	Good	Good	Fair	Fair	Good	Good
region_098	Good	Fair	Good	Good	Fair	Good	Fair	Good	Good	Good	Good	Good	Good	Fair	Good	Fair	Fair	Fair	Good	Good	Fair	Good	Good	Fair	Good	Good	Good	Fair	Good	Good	Fair	Poor	Good	Good	Poor	Poor	Good	Good
region_099	Good	Fair	Good	Fair	Good	Good	Fair	Good	Fair	Good	Good	Good	Fair	Good	Good	Fair	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Excellent	Good	Good	Good	Good	Good	Poor	Good	Good	Poor	Good	Good	Good
region_100	Fair	Good	Fair	Fair	Excellent	Fair	Fair	Good	Good	Good	Good	Good	Fair	Fair	Good	Good	Good	Fair	Good	Good	Good	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair
region_101	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Excellent	Excellent	Good	Good	Good	Fair	Good	Good	Excellent	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Fair	Good	Good	Good	Good	Fair	Good	Good
region_102	Fair	Good	Good	Good	Poor	Fair	Good	Fair	Good	Good	Fair	Fair	Good	Good	Fair	Good	Fair	Fair	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Excellent	Fair	Good	Poor	Poor	Fair	Good
region_103	Good	Fair	Fair	Fair	Good	Good	Good	Fair	Fair	Good	Fair	Fair	Good	Poor	Poor	Fair	Good	Good	Good	Fair	Fair	Good	Fair	Fair	Fair	Good	Fair	Fair	Fair	Good	Good	Fair	Good	Good	Good	Good	Good	Good
region_104	Good	Good	Good	Fair	Fair	Excellent	Good	Fair	Good	Excellent	Fair	Good	Good	Good	Fair	Excellent	Good	Good	Good	Good	Good	Good	Excellent	Good	Good	Good	Good	Good	Good	Excellent	Good	Fair	Fair	Good	Fair	Good	Good	Good
region_105	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Fair	Fair	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Excellent	Fair	Fair	Good	Good	Good	Good
region_106	Fair	Good	Fair	Excellent	Good	Good	Fair	Fair	Fair	Good	Fair	Excellent	Good	Fair	Good	Excellent	Good	Good	Good	Good	Fair	Fair	Fair	Good	Fair	Good	Good	Good	Good	Good	Fair	Fair	Good	Good	Fair	Good	Good	Good
region_107	Good	Good	Good	Good	Good	Good	Fair	Fair	Fair	Good	Good	Fair	Fair	Good	Good	Fair	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Good
region_108	Good	Good	Good	Fair	Good	Good	Fair	Fair	Good	Fair	Fair	Good	Good	Good	Good	Fair	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Excellent	Good	Good	Fair	Fair	Good	Fair	Fair	Good	Good
region_109	Good	Fair	Good	Fair	Good	Fair	Good	Fair	Good	Fair	Fair	Fair	Good	Fair	Good	Fair	Fair	Good	Good	Good	Fair	Good	Good	Good	Excellent	Good	Good	Fair	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Good
region_110	Good	Good	Good	Fair	Fair	Good	Fair	Poor	Good	Good	Good	Good	Good	Fair	Fair	Fair	Good	Fair	Good	Good	Excellent	Good	Good	Fair	Good	Good	Fair	Good	Good	Good	Fair	Fair	Good	Good	Fair	Good	Good	Good
region_111	Fair	Fair	Excellent	Excellent	Poor	Good	Good	Good	Good	Good	Fair	Fair	Good	Fair	Good	Fair	Good	Good	Good	Good	Fair	Good	Good	Good	Fair	Fair	Good	Fair	Fair	Good	Good	Poor	Good	Good	Good	Good	Good	Good
region_112	Fair	Poor	Fair	Good	Good	Good	Poor	Good	Poor	Fair	Poor	Good	Good	Poor	Good	Poor	Good	Good	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor
region_113	Poor	Good	Good	Good	Poor	Fair	Poor	Good	Fair	Excellent	Fair	Fair	Good	Good	Excellent	Poor	Fair	Good	Good	Good	Fair	Good	Good	Excellent	Fair	Good	Fair	Fair	Good	Fair	Fair	Excellent	Good	Good	Excellent	Good	Good	Poor
region_114	Poor	Poor	Fair	Poor	Fair	Good	Poor	Fair	Poor	Good	Poor	Fair	Good	Fair	Good	Poor	Good	Good	Fair	Fair	Fair	Fair	Good	Good	Fair	Good	Good	Poor	Good	Fair	Good	Good	Fair	Good	Fair	Good	Good	Good
region_115	Good	Fair	Good	Fair	Good	Good	Fair	Good	Fair	Good	Good	Fair	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Fair	Fair	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Fair
region_116	Fair	Fair	Fair	Good	Fair	Good	Good	Good	Good	Fair	Fair	Fair	Good	Fair	Good	Good	Fair	Poor	Good	Good	Poor	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Fair	Fair	Good	Good	Fair	Good	Good	Good
region_117	Good	Fair	Good	Good	Good	Good	Good	Poor	Fair	Good	Fair	Poor	Good	Fair	Good	Fair	Fair	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Poor	Good	Good	Good	Poor	Good	Fair	Fair	Fair	Good	Good
region_118	Poor	Good	Fair	Good	Good	Good	Good	Fair	Good	Good	Good	Fair	Good	Excellent	Poor	Good	Poor	Good	Fair	Good	Fair	Good	Excellent	Fair	Fair	Good	Fair	Fair	Good	Fair	Good	Excellent	Good	Good	Good	Good	Fair	Good
region_119	Poor	Poor	Good	Fair	Good	Good	Good	Good	Good	Poor	Fair	Good	Good	Fair	Poor	Good	Fair	Good	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair
region_120	Poor	Poor	Good	Good	Poor	Fair	Good	Fair	Good	Poor	Good	Fair	Fair	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Fair	Fair	Good	Good	Excellent	Good	Good	Good
region_121	Poor	Poor	Fair	Excellent	Fair	Fair	Good	Good	Fair	Fair	Fair	Fair	Good	Fair	Good	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair
region_122	Poor	Poor	Poor	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor
region_123	Fair	Poor	Fair	Fair	Good	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Good	Poor	Good	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair
region_124	Good	Good	Good	Fair	Good	Fair	Good	Fair	Good	Good	Poor	Good	Good	Fair	Fair	Good	Good	Fair	Fair	Fair	Good	Good	Fair	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Fair	Fair
region_125	Good	Fair	Fair	Fair	Poor	Fair	Good	Fair	Fair	Fair	Fair	Good	Fair	Fair	Good	Good	Fair	Good	Fair	Good	Fair	Fair	Fair	Fair	Fair	Good	Fair	Good	Good	Good	Good	Fair	Good	Poor	Fair	Excellent	Good	Good
region_126	Fair	Poor	Good	Good	Fair	Good	Good	Good	Good	Fair	Fair	Good	Poor	Poor	Good	Fair	Good	Good	Fair	Good	Fair	Fair	Poor	Fair	Good	Good	Good	Fair	Good	Good	Good	Good	Poor	Good	Good	Good	Poor	Good
region_127	Good	Fair	Excellent	Fair	Good	Fair	Good	Good	Fair	Fair	Good	Fair	Good	Good	Good	Fair	Good	Fair	Good	Good	Good	Excellent	Good	Fair	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Fair	Good	Good	Good
region_128	Good	Good	Fair	Good	Good	Good	Fair	Good	Good	Poor	Good	Fair	Good	Good	Good	Fair	Fair	Good	Good	Good	Fair	Fair	Fair	Good	Fair	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Fair	Good	Good	Good
region_129	Fair	Good	Good	Good	Excellent	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Fair	Good	Fair	Fair	Good	Good
region_130	Poor	Excellent	Good	Good	Good	Good	Good	Good	Excellent	Excellent	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Excellent	Good	Good	Good	Good	Good	Good
